id,title,original_language,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,genres_0_name,genres_1_name,genres_2_name,production_companies_0_name,production_companies_1_name,production_companies_2_name,production_countries_0_name,movie_id,actor_1,actor_2,actor_3,profit,roi
11411,Superman IV: The Quest for Peace,en,1987-07-24,17000000,36681020.0,90.0,46.691,4.562,1228.0,Action,Adventure,Science Fiction,The Cannon Group,London-Cannon Films,Golan-Globus Productions,United Kingdom,11411,Christopher Reeve,Jon Cryer,Gene Hackman,19681020.0,1.1577070588235294
6687,TransSiberian,en,2008-01-18,15000000,5926410.0,111.0,23.666,6.4,710.0,Thriller,Crime,Mystery,Lithuanian Film Studio,Scout Productions,Canal+ España,Belgium,6687,Kate Mara,Woody Harrelson,Ben Kingsley,-9073590.0,-0.604906
324560,Brimstone,en,2016-03-12,13000000,0.0,148.0,42.655,7.157,1114.0,Thriller,Western,Horror,Illusion Film,N279 Entertainment,FilmWave,Austria,324560,Dakota Fanning,Kit Harington,Guy Pearce,-13000000.0,-1.0
22803,Law Abiding Citizen,en,2009-10-15,53000000,127900000.0,109.0,50.164,7.388,5095.0,Drama,Crime,Thriller,The Film Department,Evil Twins,Warp Films,United Kingdom,22803,Gerard Butler,Jamie Foxx,Regina Hall,74900000.0,1.4132075471698113
587807,Tom & Jerry,en,2021-02-10,50000000,136536687.0,101.0,61.23,6.8,2427.0,Comedy,Family,Animation,Warner Bros. Pictures Animation,Turner Entertainment,The Story Company,United States of America,587807,Chloë Grace Moretz,Ken Jeong,Colin Jost,86536687.0,1.73073374
1062807,SPY x FAMILY CODE: White,ja,2023-12-22,5000000,59256423.0,110.0,90.22,7.015,440.0,Animation,Comedy,Adventure,WIT STUDIO,CloverWorks,TOHO,Japan,1062807,Saori Hayami,Hiroyuki Yoshino,Ayane Sakura,54256423.0,10.8512846
19585,G-Force,en,2009-07-24,150000000,292817841.0,88.0,23.613,5.5,1846.0,Animation,Family,Fantasy,Walt Disney Pictures,Jerry Bruckheimer Films,Whamaphram Productions,United States of America,19585,Nicolas Cage,Jon Favreau,Steve Buscemi,142817841.0,0.95211894
787699,Wonka,en,2023-12-06,125000000,632302312.0,117.0,135.834,7.129,3427.0,Comedy,Family,Fantasy,Warner Bros. Pictures,Village Roadshow Pictures,The Roald Dahl Story Company,United Kingdom,787699,Timothée Chalamet,Keegan-Michael Key,Rowan Atkinson,507302312.0,4.058418496
607,Men in Black,en,1997-07-02,90000000,589400000.0,98.0,56.006,7.202,13653.0,Action,Adventure,Comedy,Columbia Pictures,Amblin Entertainment,MacDonald/Parkes Productions,United States of America,607,Sylvester Stallone,Will Smith,Vincent D'Onofrio,499400000.0,5.5488888888888885
39691,Cats & Dogs: The Revenge of Kitty Galore,en,2010-07-29,85000000,112483764.0,82.0,52.121,5.22,620.0,Family,Adventure,Comedy,Village Roadshow Pictures,Polymorphic Pictures,Mad Chance,United States of America,39691,Nick Nolte,Kiernan Shipka,J.K. Simmons,27483764.0,0.3233384
445571,Game Night,en,2018-02-15,37000000,117501013.0,100.0,39.074,6.9,5721.0,Mystery,Comedy,Crime,New Line Cinema,Aggregate Films,Davis Entertainment,United States of America,445571,Rachel McAdams,Jason Bateman,Michael C. Hall,80501013.0,2.175703054054054
91314,Transformers: Age of Extinction,en,2014-06-25,210000000,1104054072.0,165.0,118.302,5.939,8074.0,Science Fiction,Action,Adventure,di Bonaventura Pictures,DeSanto/Murphy Productions,Ian Bryce Productions,United States of America,91314,Mark Wahlberg,John Goodman,Titus Welliver,894054072.0,4.257400342857143
133931,Zambezia,en,2012-06-05,20000000,0.0,83.0,36.065,6.2,296.0,Comedy,Animation,Adventure,"The Department of Trade, Industry and Competition of South Africa",The National Film and Video Foundation of South Africa,Wonderful Works,South Africa,133931,Samuel L. Jackson,Abigail Breslin,Jeff Goldblum,-20000000.0,-1.0
320288,Dark Phoenix,en,2019-06-05,200000000,252442974.0,114.0,99.753,5.981,6473.0,Science Fiction,Action,Adventure,Genre Films,Hutch Parker Entertainment,20th Century Fox,United States of America,320288,Michael Fassbender,Jennifer Lawrence,James McAvoy,52442974.0,0.26221487
11679,xXx: State of the Union,en,2005-04-27,60000000,71410636.0,101.0,41.194,5.0,1823.0,Action,Adventure,Crime,Revolution Studios,Original Film,Columbia Pictures,United States of America,11679,Samuel L. Jackson,Willem Dafoe,Scott Speedman,11410636.0,0.19017726666666668
290098,The Handmaiden,ko,2016-06-01,8575000,38600000.0,145.0,113.878,8.215,3702.0,Thriller,Drama,Romance,Moho Film,Yong Film,CJ Entertainment,South Korea,290098,Kim Tae-ri,Kim Min-hee,Ha Jung-woo,30025000.0,3.501457725947522
506574,Descendants 3,en,2019-08-02,15000000,0.0,106.0,112.739,7.7,1500.0,Family,TV Movie,Adventure,"Bad Angels Productions, Ltd.",5678 Productions,Disney Channels Worldwide,United States of America,506574,Sofia Carson,Dove Cameron,Thomas Doherty,-15000000.0,-1.0
103332,Ruby Sparks,en,2012-07-25,8000000,9368803.0,104.0,22.859,7.1,1598.0,Comedy,Romance,Fantasy,Fox Searchlight Pictures,DragonCove Studios,Bona Fide Productions,United States of America,103332,Antonio Banderas,Deborah Ann Woll,Paul Dano,1368803.0,0.171100375
9334,The Scorpion King,en,2002-04-18,60000000,165333180.0,92.0,37.174,5.588,3092.0,Action,Adventure,Fantasy,Universal Pictures,Alphaville Films,Kalima Productions,United States of America,9334,Dwayne Johnson,Michael Clarke Duncan,Kelly Hu,105333180.0,1.755553
1995,Lara Croft: Tomb Raider,en,2001-06-11,115000000,274700000.0,100.0,40.642,5.9,6014.0,Adventure,Fantasy,Action,Paramount Pictures,Mutual Film Company,Lawrence Gordon Productions,Germany,1995,Angelina Jolie,Daniel Craig,Jon Voight,159700000.0,1.388695652173913
12233,Oliver & Company,en,1988-11-18,31000000,121000000.0,74.0,37.737,6.7,1544.0,Animation,Comedy,Family,Walt Disney Pictures,Silver Screen Partners III,Walt Disney Feature Animation,United States of America,12233,Jonathan Brandis,Frank Welker,Dom DeLuise,90000000.0,2.903225806451613
82525,Savages,en,2012-07-06,45000000,82966152.0,131.0,45.144,6.4,2120.0,Crime,Drama,Thriller,Relativity Media,Ixtlan,Onda Entertainment,France,82525,Blake Lively,Salma Hayek Pinault,Aaron Taylor-Johnson,37966152.0,0.8436922666666666
98357,Broken City,en,2013-01-18,56000000,34737199.0,109.0,33.181,5.9,1447.0,Thriller,Crime,Drama,1984 Private Defense Contractors,EFO Films,Inferno International,United States of America,98357,Mark Wahlberg,Russell Crowe,Natalie Martinez,-21262801.0,-0.379692875
